n_abu_pool,E_abu_mission_kwh_per_abu,E_abu_total_kwh_per_abu,E_abu_used_kwh_total,E_saved_kwh,E_mission_kwh_main,E_pack_kwh_main,E_pack_kwh_abu,dod_main,dod_abu,soc_start_main,soc_start_abu,soc_target,t_flight_hr,t_attached_hr,t_return_cruise_abu_hr,t_charge_hr_main,t_charge_hr_abu,t_cycle_nominal_hr,n_flights_nominal_no_abu_limit,n_flights_completed,t_flight_day_hr,t_slack_hr,t_wait_abu_day_hr,abu_utilization_avg,abu_bottleneck_flag,P_cc_kw_main,P_cc_kw_abu,charger_limit_indicator_flag_main,charger_limit_indicator_flag_abu
1.000000,5.000000,17.000000,5.000000,4.809252,48.073765,68.642488,17.000000,0.700350,1.000000,0.299650,0.000000,1.000000,0.247500,0.016641,0.367859,0.763323,0.276800,1.294123,18.000000,19.000000,4.702500,0.000000,0.000000,0.574987,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,10.000000,22.000000,10.000000,9.523781,43.359237,68.642488,22.000000,0.631668,1.000000,0.368332,0.000000,1.000000,0.247500,0.032954,0.331373,0.720169,0.348178,1.250969,19.000000,19.000000,4.702500,0.231583,0.000000,0.615524,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,15.000000,27.000000,15.000000,14.147404,38.735614,68.642488,27.000000,0.564310,1.000000,0.435690,0.000000,1.000000,0.247500,0.048952,0.295589,0.677848,0.417592,1.208648,19.000000,20.000000,4.950000,0.000000,0.000000,0.689278,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,20.000000,32.000000,20.000000,18.681023,34.201995,68.642488,32.000000,0.498263,1.000000,0.501737,0.000000,1.000000,0.247500,0.064639,0.260503,0.636350,0.485428,1.167150,20.000000,21.000000,5.197500,0.000000,0.000000,0.766124,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,25.000000,37.000000,25.000000,23.126222,29.756796,68.642488,37.000000,0.433504,1.000000,0.566496,0.000000,1.000000,0.247500,0.080020,0.226101,0.595662,0.551949,1.126462,21.000000,22.000000,5.445000,0.000000,0.000000,0.846147,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,30.000000,42.000000,30.000000,27.484571,25.398447,68.642488,42.000000,0.370011,1.000000,0.629989,0.000000,1.000000,0.247500,0.095101,0.192371,0.555769,0.617344,1.086569,22.000000,22.000000,5.445000,0.095493,0.000000,0.888997,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,35.000000,47.000000,35.000000,31.757617,21.125401,68.642488,47.000000,0.307760,1.000000,0.692240,0.000000,1.000000,0.247500,0.109886,0.159301,0.516656,0.681758,1.047456,22.000000,23.000000,5.692500,0.000000,0.000000,0.973613,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,40.000000,52.000000,37.786984,33.958109,18.924909,68.642488,52.000000,0.275703,0.957442,0.724297,0.042558,1.000000,0.247500,0.117500,0.142271,0.496514,0.725046,1.027314,23.000000,23.000000,5.692500,0.000000,0.495053,1.006074,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,45.000000,57.000000,38.151485,33.958109,18.924909,68.642488,57.000000,0.275703,0.879851,0.724297,0.120149,1.000000,0.247500,0.117500,0.142271,0.496514,0.745382,1.027314,23.000000,23.000000,5.692500,0.000000,0.942441,1.025563,0.000000,109.250000,109.250000,charger_limited,charger_limited
1.000000,50.000000,62.000000,38.518661,33.958109,18.924909,68.642488,62.000000,0.275703,0.814817,0.724297,0.185183,1.000000,0.247500,0.117500,0.142271,0.496514,0.765038,1.027314,23.000000,22.000000,5.445000,0.086708,1.312380,0.998991,1.000000,109.250000,109.250000,charger_limited,charger_limited
